class,preconditions,present,imperfective,perfective,imperative,infinitive
a,,a',ahsk,,a,ahst
become,,k,k,ts,ki,hst
become[inf2],,k,k,ts,ki,'ihst
become[inf3],,k,k,ts,ki,yhst
become[inf4],,k,k,ts,ki,ihst
ko-kots,,kok,kok,kots,ko'i,kohst
sk-s-hi-hihst,,hsk,hsk,hs,hi,hihst
sk-s-a,C,hsk,hsk,hs,a,hihst
sk-s-a[inf2],C,hsk,hsk,hs,a,hst
sk-s-hst,V,hsk,hsk,hs,,hst
sk-s-hst[imp2],V,hsk,hsk,hs,hi,hst
sk-s-la,V,hsk,hsk,hs,la,hst
sk-h,,hsk,hsk,h,ha,hst
sk-h[imp2],,hsk,hsk,h,,hst
sk-h-yh,V,hsk,hsk,yh,yha,hst
hvsk-han,C,hvhsk,hvhsk,han,hvka,ht
hvsk-han[inf2],C,hvhsk,hvhsk,han,hvka,hvhst
hvsk-nh,V,hvhsk,hvhsk,nh,hvka,ht
hvsk-nh[inf2],V,hvhsk,hvhsk,nh,hvka,*ht
hvsk-nh[inf3],V,hvhsk,hvhsk,nh,hvka,hvhst
hvsk-nh[inf4],V,hvhsk,hvhsk,nh,hvka,*oht
hvsk-n,hV,hvhsk,hvhsk,n,hvka,*oht
husk,,huhsk,huhsk,hun,huka,huhst
episodic,,vhvhsk,vhvhsk,vnh,vhvka,ht
episodic[inf2],,vhvhsk,vhvhsk,vnh,vhvka,vhvhst
episodic[imp2],,vhvhsk,vhvhsk,vnh,vna,ht
episodic[imp2-inf2],,vhvhsk,vhvhsk,vnh,vna,vhvhst
terminative,C,ohvhsk,ohvhsk,onh,onha,ohvhst
terminative-no-o,V,hvhsk,hvhsk,nh,nha,hvhst
e-aka,,e',ehsk,a',aka,ehst
e-a,,e',ehsk,e',a,et
apl-active,,eh,ehsk,eh,vla,eht
apl-active-h,,heh,hehsk,helh,hvla,heht
apl-active-',',eh,ehsk,elh,vla,eht
apl-active-a,,eh,ehsk,eh,a,ht
apl,,eh,eh,el,*hsi,eht
apl[imp2],,eh,eh,el,@hsi,eht
apl[imp3],,eh,eh,el,ihsi,eht
apl[imp4],,eh,eh,el,vla,eht
go,,ek,ek,vhs,uka,vhst
go[pres2],,,ek,vhs,uka,vhst
go-in,,ek,ek,invhs,uka,invt
go-in[perf2],,ek,ek,ehs,uka,invt
cause,,ih,ihsk,han,a,oht
cause[perf2],,ih,ihsk,anh,a,oht
cause[perf3],,ih,ihsk,an,a,oht
cause[pres2],,,ihsk,han,a,oht
cause[pres2-perf2],,,ihsk,anh,a,oht
cause[pres2-perf3],,,ihsk,an,a,oht
ih-il,,ih,ih,il,ika,ihst
hih-hil,C,hih,hih,hil,hka,hst
hih-hil[imp2],C,hih,hih,hil,hika,hst
hih-hilh,C,hih,hih,hilh,hika,hihst
hih-lh,V,hih,hih,lh,ka,hst
hih-lh[imp2],V,hih,hih,lh,ha,hst
ih-vh,,ih,ihsk,vh,a,ht
ih-vh[inf2],,ih,ihsk,vh,a,vht
ih-vh[imperf2],,ih,ih,vh,a,ht
ih-vh[imperf2-inf2],,ih,ih,vh,a,vht
vnh-ih-a,,ih,ihsk,vnh,a,ht
vnh-vsk,,vhsk,vhsk,vnh,vna,ht
vnh-vsk[inf2],,vhsk,vhsk,vnh,vna,vht
vnh-vsk[inf3],,vhsk,vhsk,vnh,vna,vnht
vnh-vsk[inf4],,vhsk,vhsk,vnh,vna,vhst
i-vka,,i',ihsk,an,vka,ot
i-a-i,,i',ihsk,,a,ihst
i-a-i[perf2],,i',ihsk,ihs,a,ihst
i-a-ihsk,,ihsk,ihsk,ihs,a,ihst
ih-ihi,,ih,ihsk,ihs,ihi,ihihst
o,C,o',ohsk,o',otsa,ohst
be-at,,oh,oh,ol,a,ahst
oh-al,,hoh,hoh,hal,hka,hst
oh-al[imp2],,hoh,hoh,hal,aka,hst
oh-ol,,oh,oh,ol,aka,ot
oh-ol[inf2],,oh,oh,ol,aka,hst
oh-ol[inf3],,oh,oh,ol,aka,ahst
v-vhs,C,v',vhsk,vhs,vna,vhst
vsk,C,vhsk,vhsk,vn,vka,vt
vsk[imp2],C,vhsk,vhsk,vn,v'vka,vt
vsk-long,C,v'vhsk,v'vhsk,vn,vka,vt
vsk-long[imp2],C,v'vhsk,v'vhsk,vn,v'vka,vt
vsk-post-v,V,'vhsk,'vhsk,n,'vka,t
rev-gi,,ki',kihsk,kihs,ki,kihst
rev-i,,i',ihsk,ihs,i,ihst
rev-'i,,'i','ihsk,'ihs,'i,'ihst
rev-e,,e',ehsk,ehs,aki,ehst
stative,,,,,,
stative-k,,k,k,,,
stative-h,,h,h,,,
stative-s,,h,hs,,,
stative-a',,a',a',,,
stative-eh,,eh,eh,,,
